ZIP Code,City/Area,0 BR,1 BR,2 BR,3 BR,4 BR,5 BR
35749,Harvest,"$1,071","$1,236","$1,442","$1,854","$2,266","$2,606"
35756,Madison,"$1,432","$1,658","$1,926","$2,482","$3,028","$3,482"
35757,Madison,"$1,308","$1,514","$1,761","$2,260","$2,771","$3,186"
35758,Madison,"$1,133","$1,308","$1,524","$1,963","$2,400","$2,760"
35759,Meridianville,"$1,213","$1,442","$1,679","$2,184","$2,606","$2,997"
35763,Owens Cross Roads,"$1,432","$1,658","$1,926","$2,482","$3,028","$3,482"
35773,Toney,$927,"$1,071","$1,246","$1,607","$1,957","$2,251"
35801,,"$1,051","$1,215","$1,411","$1,823","$2,225","$2,559"
35802,,$958,"$1,102","$1,288","$1,658","$2,029","$2,333"
35803,,"$1,030","$1,185","$1,380","$1,782","$2,070","$2,381"
35806,,"$1,123","$1,288","$1,504","$1,936","$2,239","$2,575"
35824,,"$1,051","$1,215","$1,411","$1,823","$2,225","$2,559"